--------------
select id, medieval_catalogue from books_book where medieval_catalogue > '' order by id
--------------

id	medieval_catalogue
1309	cat. 1793
1310	cat. 808, Ingram 193
1311	cat. 808, Ingram 193
1312	Cat. 1661, not Ingram 177
1313	cat. 204, Ingram 104
1315	cf. cat. 51, 52
1317	Cat. 954
1318	? Old cat. 220
1324	? Cat. 304
1325	? Chillenden 16
1326	? Cat. 283
1328	? Cat. 283
1329	Cat. 922, Ingram 44
1330	? Cat. 1245
1331	Ingram 47
1334	Cat. 921, not Ingram 32
1340	Cat. 452
1341	cat. 835
1344	cat. 90
1346	cat. 1665, Ingram 8
1357	cat. 127
1360	cat. 145
1362	old cat. 40 cf. cat. 438
1364	cat. 325, Ingram 77
1371	cat. 373
1372	Cat. 925
1373	cat. 1357
1375	cat. 204
1377	Leland
1378	cat. 1155
1379	Cat. 934
1380	cat. 323
1381	cat. 551
1382	cat. 530
1383	Cat. 902
1384	cat. 903
1385	cat. 224
1386	Cat. 1723
1388	Cat. 9
1389	Cat. 1516
1392	Cat. 910
1394	cat. 457
1396	cat. 884
1398	cat. 1632
1399	Cat. 383
1400	cat. 892
1403	cat. 444
1405	cat. 939
1406	Cat. 419
1407	Cat. 1008
1408	cat. 1202
1409	Cat. 621
1411	Cat. 1245
1412	cat. 1467
1415	cat. 25
1417	1150
1419	Cat. 356 
1420	Cat. 901
1421	cat. 1228
1422	cat. 937
1423	cat. 1218
1426	cat. 1485
1427	cat. 482
1429	cat. 363
1430	Cat. 113
1431	? cat. 196
1432	Cat. 1543
1433	part of cat. 1599
1435	cat. 1273
1437	Cat. 1157
1438	Cat. 993
1439	cat. 1125
1440	Cat. 1439
1441	Cat. 1440
1443	cat. 17
1444	cat. 157
1445	cat. 1286
1446	Cat. 300
1447	cat. 349
1449	cat. 168
1450	cat. 616
1451	cat. 1193
1454	cat. 1544
1456	Cat. 1468
1457	cat. 89
1458	cat. 1444
1460	cat. 907
1461	cat. 1519
1463	cf. cat. after 950
1464	cat. 916
1465	cat. 1536
1468	cat. 1766
1470	Cat. 10
1471	Cat. 44
1472	Cat. 156
1477	Cat. 917
1478	Cat. 931
1479	Cat. 330
1480	Cat. 95
1484	? Cat. 887
1489	? Leland
1492	cat. 131
1494	Cat. 895
1495	cat. 434, Leland
1496	cat. 640
1498	Cat. 1123
1500	? Part of cat. 1599
1502	Cat. 1147
1503	cat. 345
1504	cat. 1166
1507	cat. 926
1508	Cat. 1164
1510	cat. 197
1511	cat. 964
1515	cat. 462
1518	Cat. 31
1522	cat. 109
1523	cat. 105
1524	cat. 98
1525	cat. 143
1526	Cat. 358
1527	cat. 427
1528	cat. 415
1529	cat. 820
1531	cat. 544
1532	? cat. 1810
1533	Cat. 1692
1534	cat. 1324
1535	cat. 1785
1536	cat. 958
1538	cat. 1244
1540	cat. 1196
1541	cat. 893
1542	cat. 912
1543	Cat. 906
1544	cat. 1011
1545	cat. 1438
1546	cat. 1476
1547	cat. 1619
1549	cat. 1809
1550	cat. 299
1551	cat. 1551
1553	cat. 708
1554	cat. 851
1555	cat. 929
1556	cat. 1651
1557	cat. 845
1558	cat. 1510
1561	cat. 71
1562	cat. 447
1564	Cat. 665
1565	cat. 29
1566	cat. 14
1567	cat. 14
1569	cat. 844
1570	Cat. 1130
1571	cat. 1264
1572	cat. 1240
1574	Not cat. 1431
1576	cat. 1812
1578	cat. 329
1579	cat. 137, Leland
1580	Cat. 1156
1583	Part in cat. 129
1584	cat. 443
1585	cat. 1562
1587	cat. 507
1588	cat. 364
1589	cat. 987
1590	Cat. 870
1591	cat. 1565
1593	cat. 588
1596	Fol. 1 of cat. 357
1597	not cat. 1200
1598	cat. 676
1600	Cat. 325
1601	cat. 468
1602	Cat. 182
1604	Cat. 441
1605	Cat. 1222
1606	Cat. 953
1607	cat. 1140
1609	Cat. 1433
1611	cat. 1019
1612	cat. 222
1614	cat. 12
1615	cat. 374
1616	cat. 1197
1617	cat. 1277
1619	cat. 1170
1620	cat. 1145
1622	cat. 1009
1623	Cat. 936
1624	cat. 1124
1625	cat. 1390
1626	cat. 367
1627	cat. 286
1628	cat. 1763
1629	cat. 351
1630	Cf. cat. 439
1631	cat. 758
1632	cat. 933 (cf. p. 519)
1739	? Leland
1748	Leland
1754	Leland
1756	? Leland
1778	Leland
1793	Cat. vet., p. 63 A
1819	Boethius A.
1821	Josephus A
1845	Cat. 43--49
1866	List, 1
1904	cat. 2 and 3
1905	cat. 129
1907	cat. 133
1908	cat. 385
1909	cat. 397
1910	cat. 18
1911	cat. 391
1912	cat. 394
1913	cat. 423
1915	cat. 169
1916	cat. 396
1917	cat. 124
1918	cat. 167
1919	cat. 374
1921	cat. 371
1923	cat. 273
1924	cat. 405
1925	cat. 119
1926	cat. 415
1927	cat. 113
1928	cat. 118
1946	cat., p. 76 A
1952	cat., p. 5
1953	cat., pp. 18 H, 93 H
1955	G
1962	Athelstan
1964	cat., p. 47 E
1968	cat., pp. 22 P, 99 P
1969	Cat., pp. 24 C, 100 C
1971	cat., pp. 39 P, 116 P
1973	cat., p. 75 A
1974	cat., p. 49 N
1975	cat., p. 47 H
1977	cat., pp. 8, 33 O, 111 O
1979	cat., pp. 15 E, 90 E
1983	cat., p. 73 N
1984	cat., p. 72 C
1987	cat., p. 71 B
1988	cat., pp. 77 G, 79 G
1989	cat., pp. 25 D, 101 D
1992	cat., pp. 75 B, 81 B
1993	cat., pp. 19 D, 94 D
1994	cat., pp. 21 [F], 37, 41 F, 97 H
1999	cat., pp. 35 E, 112 E
2000	cat., p. 68 G
2001	cat., pp. 33 C, 110 C
2002	cat., p. 64 A recte B
2003	cat., pp. 24 P, 101 P
2006	cat., pp. 35 F, 112 F
2007	cat., p. 72 F
2008	cat., pp. 18 L, 93 L
2010	cat., pp. 32 A, 109 A, 119
2011	cat., pp. 30 B, 107 B
2020	cat., p. 53 C
2021	cat., p. 51 K (In libraria)
2022	cat., p. 51 M (In libraria)
2023	cat., p. 119
2025	cat., p. 50 B (In libraria)
2026	cat., pp. 44 I, 51 I (In libraria)
2027	cat., p. 52 E
2028	cat., pp. 2(?), 76 D, 81 D (In refectorio)
2029	cat., p. 73 Q (In libraria)
2030	cat., pp. 11 H, 40 H, 86 H
2031	cat., pp. 44 Q, 51 Q (In libraria)
2032	cat., p. 41 L
2033	cat., pp. 44 F, 52 F (In libraria)
2034	cat., pp. 45 E, 53 E (In libraria)
2037	cat., p. 50 E
2038	cat., pp. 1, 50 H, 80 H, 117 (In refectorio)
2039	cat., p. 50 A (In libraria)
2041	cat., pp. 50--51 C (see Notes)
2042	cat., p. 53 A
2043	cat., p. 51 H
2044	cat., pp. 13 A, 88 A
2045	cat., p. 51 O (In libraria)
2046	cat., p. 52 A
2047	cat., pp. 16 D, 92 D
2049	cat., p. 52 F
2050	cat., pp. 17 B, 93 B, 118
2051	cat., p. 49 G (In libraria)
2052	cat., pp. 27 C, 103 C
2053	cat., p. 52 G
2054	cat., pp. 11 D, 86 D ("modici valoris est")
2055	cat., pp. 11 C, 86 C
2056	cat., pp. 12 C, 87 C
2057	cat., pp. 12 A, 88 A
2058	cat., pp. 12 D, 87 D
2059	cat., pp. 12 A, 88 A
2060	cat., p. 51 K
2061	cat., pp. 13 B, 88 B
2062	cat., pp. 13 AA, 89 AA
2063	cat., pp. 3, 13 L, 88 L
2065	cat., pp. 26 G, 103 G
2066	cat., p. 68 A
2067	cat., p. 51 L (In libraria)
2068	cat., p. 51 M
2069	cat., pp. 14 B, 90 B
2070	cat., pp. 2(?), 15 F, 90 F
2072	cat., pp. 15 A, 90 A
2073	cat., pp. 15 B, 91 B
2074	cf. cat., pp. 44 A, 51 A
2075	cat., pp. 15 B, 91 B
2076	cat., pp. 15 A, 91 A
2077	Cat., pp. 15 A, 91 A
2078	Cat., pp. 15 A, 91 A
2079	cat., pp. 16 E, 91 E
2082	cat., pp. 15 F, 90 F
2083	cat, pp. 11 C, 86 C
2085	cat., pp. 16 D, 92 D
2086	cat. p. 68 C
2087	cat., pp. 51 P, 83 P, cf. p. 42 D (recte P)
2088	cat., pp. 11 D, 87 D, 118
2089	cat., pp. 13 X, 89 X
2090	cat., pp. 14 II, 89 II
2091	cat., pp. 13 FF, 89 FF
2093	cat., pp. 15 G, 90 G
2094	cat, pp. 16 B, 92 B, 118
2095	cat., pp. 16 D, 92 D
2096	cat., pp. 16 C, 92 C
2097	cat., pp. 17 D, 92 D
2098	cat., pp. 16 B, 92 B
2099	cat., pp. 17 D, 93 D
2100	cat., pp. 17 G, 93 G
2104	cat., pp. 18 A, 94 A
2105	cat., pp. 14 C, 90 C (in quaterno)
2106	Cat., pp. 30 A, 107 A
2107	cat., p. 54 D
2108	cat., p. 54 A
2110	cat., p. 73 R
2111	cat., p. 74 N
2112	cat., p. 72 C
2113	cat., p. 73 T
2114	cat., p. 72 B
2115	cat., p. 72 E
2116	cat., pp. 23 E, 99 E
2117	cat., p. 73 O
2118	cat., p. 74 A
2119	Cat., pp. 23, 37, 100
2120	cat., p. 72 D
2121	cat., p. 73 L
2123	cat., p. 73 K
2124	cat., pp. 23 I, 99 I
2125	cat., p. 73 I
2126	cat., p. 73 H
2127	cat., p. 78 F
2128	cat., p. 74 D (in libraria)
2129	cat., p. 74 E
2130	cat., pp. 24 A, 74 A, 100 A
2131	cat., pp. 22 F K, 98 F K
2132	cat., pp. 22 N, 98 N
2133	cat., p. 47 P
2134	cat., p. 48 P
2135	cat., p. 49 B
2137	cat., p. 53 A
2138	cat., p. 53 B
2139	cat., p. 56 A
2142	cat., p. 68 A
2144	cat., p. 58 F (In libraria)
2145	cat., p. 57 A (In libraria)
2146	cat., p. 58 G (In libraria)
2147	cat., pp. 1, 57 C (In libraria), 117
2148	cat., pp. 1, 58 E (In libraria), 117
2149	cat., p. 62 AB
2150	cat., pp. 1, 60 K, 117
2151	cat., pp. 1, 60 L, 117
2152	cat., p. 60 M
2153	cat., pp. 59 G, 117
2154	cat., pp. 59 F, 117
2155	cat., p. 63 AA
2156	cat., p. 60 H
2157	cat., p. 61 X
2158	cat., pp. 2, 60 N, 117
2159	cat., pp. 1, 59 D, 117
2161	cat., p. 59 C
2162	cat., p. 59 E
2163	cat., p. 59 A
2164	cat., p. 63 AC
2165	cat., p. 59 A (recte B) (In libraria)
2166	cf. cat., p. 63 AD
2167	cat., pp. 3, 13 E, 88 E
2168	cat., p. 76 C
2169	cat., p. 63 A
2170	cat., p. 65 A
2171	cat., p. 64 C
2172	Cat., pp. 3, 56 G, 65 G
2174	cat., pp. 2, 72 A, 118
2175	cat., p. 59K (In libraria)
2176	cat., p. 61 S
2177	cat., p. 63 AE
2178	cat., p. 46 K 
2179	cat., p. 60 P
2180	cat., p. 63 Ab
2181	cat., p. 61 V
2182	cat., p. 69 D
2183	cat., pp. 2, 63 D, 117
2184	cat., pp. 2, 63 C, 117
2186	cat., pp. 63 F, 117
2188	cat., p. 63 G 
2189	cat., p. 66 E 
2190	cat., p. 66 D
2191	cat., pp. 3, 67 A, 117
2192	cat., p. 70 A
2196	cat., p. 71 B
2197	cat., p. 71 I
2198	cat., p. 47 O
2199	cat., p. 43 S
2200	cat., pp. 27 M, 104 M
2202	cat., p. 83 Z
2206	cat., pp. 42 AF, 84 F
2207	cat., pp. 2, 20 C, 96 C
2208	cat., pp. 3, 69 B
2210	cat., p. 57 C
2211	cat., p. 57 B
2212	cat., pp. 1, 61 R (recte: Q)
2213	cat., p. 61 R
2214	cat., pp. 19 B, 95 B
2215	cat., pp. 2, 32 A, 109 A
2216	cat., pp. 24 G, 101 G
2217	cat., p. 69 C
2218	cat., pp., 2, 60 O
2219	cat., pp. 54 L, 80 L, 118
2220	cat., p. 65 C
2221	cat, p. 65 G
2222	cat., pp. 35 H, 112 H
2223	cat., pp. 35 T, 112 T
2225	cat., pp. 21 F, 97 F
2227	cat., p. 66 B
2228	cat., p. 66 A
2229	cat., pp. 30 A, 107 A
2230	cat., pp. 25 B, 101 B
2233	cat., pp. 11 R, 85 R
2239	cat., pp. 35 M, 112 M
2241	cat., pp. 29 D, 106 D
2245	cat., p. 83 AH
2248	cat., pp. 36 A, 37 A, 114 A
2250	cat., pp. 36 A, 114 A
2252	cat., pp. 36 B, 37 B, 114 B
2253	cat., pp. 34 B, 112 B
2254	cat., p. 46 N
2256	cat., pp. 36 C, 37 C, 114 C
2257	cat., p. 48 T
2258	cat., p. 47 I
2260	Cf. cat., p. 77 B
2261	cat., p. 77 D
2263	cat., p. 46 C
2264	cat., p. 47 A
2265	cat., p. 47 D
2267	cat., p. 47 C
2268	cat., p. 46 H 
2272	cat., pp. 36 X, 113 X
2273	cat., p. 48 AD
2274	Cat., p. 48 AC
2275	cat., p. 47 L 
2276	cat., pp. 35 K, 112 K
2277	Cat., p. 46 F
2279	cat., pp. 35 D, 113 D
2280	cat., pp. 35 H, 113 H
2281	cat., pp. 35 E, 113 E
2282	cat., pp. 35 R, 112 R
2284	cat., pp. 35 Q, 112 Q
2285	cat., p. 112 V
2291	cat., pp. 32 S, 110 S
2292	cat., p. 77 C
2297	cat., pp. 35 G, 112 G
2299	cat., pp. 31 C, 108 C, 119
2300	Cat., pp. 31 F, 108 F
2301	cat., pp. 4, 30 F, 108 F
2302	cat., pp. 33 L, 111 L
2303	cat., p. 78 H 
2304	cat., p. 111 K
2305	cat., pp. 30 O, 107 O
2307	cat., p. 77 E
2309	cat., pp. 32 G, 109 G
2310	cat., pp. 32 M, 110 M
2314	cat., p. 124 L
2316	cat., p. 48 AG
2318	cat, pp. 33 P (recte F), 111 F
2320	cat., pp. 33 A, 110 A
2356	Cat., pp. 13 BB, 89 BB
2357	cat., p. 71 D
2358	cat., pp. 12 A, 87 A
2359	cat., p. 50 D
2361	cat., pp. 4, 124 O
2362	cat., p. 75 O
2363	cat., pp. 26 F, 102 F; Leland, De Script., p. 205
2366	cat., p. 67 C
2367	cat., pp. 7, 33 H, 110 H
2368	Cat., p. 83 AI
2369	Cat., p. 64 F
2373	cat., p. 49 M
2378	cat., pp. 16 A, 92 A, 118
2383	cat., pp. 33 A, 111 A
2384	cat., p. 124 K
2387	Athelstan
2388	cat., pp. 18 L, 93 L
2397	cat., p. 56 L 
2399	cat., p. 116
2401	cat., p. 64 D
2402	1.3i.T2
2405	cat., pp. 20 D, 96 D
2406	cat., pp. 27 H, 104 H
2408	cat., p. 76 R
2411	cat., p. 124 P
2412	cat., pp. 24 A, 101 A
2417	cat., p. 49 H
2418	cat., p. 56 D E F 
2420	cat., pp. 32 A, 109 A
2424	cat., p. 63 Y
2425	cat., pp. 34 A, 111 A
2432	cat., p. 55 P
2435	cat., pp. 10 C, 85 C
2436	cat., p. 51 I
2437	cat., p. 75 K
2438	cat., p. 67 D
2439	cat., pp. 16 C, 91 C
2441	cat., p. 57 D
2443	Cat., p. 71 G
2444	cat., pp. 21 A, 97 A
2446	cat., pp. 29 L, 106 L
2449	? cat., pp. 3, 118
2450	cat., p. 56 I
2451	cat., pp. 75 F, 118
2454	cat., p. 72 AH
2455	cat., p. 59 L
2456	cat., pp. 20 K, 95 K
2461	cat., p. 56 K
2462	cat., pp. 33 E, 111 E
2465	cat., pp. 28 KK, 105 KK
2466	Cat., pp. 2, 117
2516	cat., pp. 19 H, 95 H
2518	cat., pp. 15 A, 91 A
2579	Inv. 1465, ix
2580	Inv. 1465, vi
2581	Inv. 1465, xxii
2584	Inv. 1465, viii
2586	Inv. 1465, iv
2612	Inv. 1465, xv
2617	Bale, Index, p. 202
2631	Inv. 1465, xxxiii
2632	Bale
2634	Inv. 1531 (?), fol. 4v
2672	Marlborough list
2682	Leofric
2684	? Leofric; cat., p. 309
2685	? Leofric; cat., pp. 304, 367
2686	? Leofric
2690	Leofric; cat., pp. 303, 368
2691	Cat., p. 371
2692	Cat., p. 369
2693	Cat., p. 304
2695	Leofric
2697	Cat., p. 350
2698	Cat., p. 350
2699	Cat., p. 303
2700	Cat., p. 368
2702	Cat., p. 331
2705	? Leofric; cat., p. 351 (?)
2711	? Leofric; cat., p. 334
2712	? Leofric
2716	Cat., p. 368
2718	Cat., p. 350
2719	Cat., pp. 307, 368
2720	Cat., pp. 308, 373
2721	Cat., pp. 308 (?), 373
2722	Cat., p. 368
2723	Cat., p. 367
2724	Cat., pp. 307 (?), 373
2725	Leofric; cat., p. 323
2727	Cat., pp. 304, 367
2728	Leofric
2729	Leofric; cat., pp. 307, 368
2730	Cat., pp. 304, 368
2731	Cat., pp. 303, 372
2732	Cat., pp. 302, 373
2733	Cat., pp. 303, 372
2734	Cat., pp. 302, 372
2735	Cat., pp. 303, 372
2736	Cat., pp. 303, 370
2737	Cat., pp. 301, 372
2738	Cat., pp. 302, 373
2739	Cat., p. 372
2740	Cat., p. 372
2741	Cat., pp. 302, 371
2742	Cat., pp. 302, 371
2743	Cat., pp. 302, 373
2744	Cat., pp. 303, 374
